Image_Width,Image_Height, canny_time,vertical_time,horizontal_time,mean_time,Canny_flops,Canny_bytes,vertical_flops,vertical_bytes ,horizontal_flops,horizontal_bytes,mean_flops,mean_bytes,d2h_size_MB,d2h_time,h2d_size_mb,h2d_time
7680,7680,562.784363,116.934975,64.470467,57.242943,29137305600,707788800,117964800,235944960,131618.3508,264362.2704,4246732800,1474560000,900,79.21888,225,444.650055
7680,7680,561.901917,116.989502,64.451233,57.248863,29137305600,707788800,117964800,235944960,131473.2509,264070.3056,4246732800,1474560000,900,88.866653,225,498.326904
7680,7680,572.815247,116.990723,64.542976,57.26688,29137305600,707788800,117964800,235944960,134028.1398,269201.9101,4246732800,1474560000,900,80.568291,225,500.597992
7680,7680,562.152283,116.897758,64.45504,57.256802,29137305600,707788800,117964800,235944960,131428.6831,263981.6707,4246732800,1474560000,900,80.597984,225,520.963684
7680,7680,574.007263,116.920929,64.480896,57.264256,29137305600,707788800,117964800,235944960,134226.9249,269601.8643,4246732800,1474560000,900,80.311424,225,499.348846
7680,7680,563.914978,116.836288,64.46051,57.25296,29137305600,707788800,117964800,235944960,131771.4656,264670.7611,4246732800,1474560000,900,80.243454,225,501.051483
7680,7680,562.676392,116.894272,64.464897,57.259998,29137305600,707788800,117964800,235944960,131547.2944,264219.9416,4246732800,1474560000,900,95.9105,225,521.102356
7680,7680,587.546448,116.883713,64.48896,57.259457,29137305600,707788800,117964800,235944960,137349.2208,275873.5345,4246732800,1474560000,900,88.980225,225,505.991791
7680,7680,587.228943,116.800865,64.467133,57.264351,29137305600,707788800,117964800,235944960,137177.697,275529.8519,4246732800,1474560000,900,95.845596,225,521.73761
7680,7680,564.982056,116.950691,64.427971,57.225441,29137305600,707788800,117964800,235944960,132150.0837,265430.1315,4246732800,1474560000,900,78.755234,225,444.202271
7680,7680,553.946411,116.903549,64.46077,57.243198,29137305600,707788800,117964800,235944960,129516.6028,260141.0984,4246732800,1474560000,900,89.041885,225,491.36615
7680,7680,565.157959,116.94899,64.531105,57.264576,29137305600,707788800,117964800,235944960,132189.305,265508.9259,4246732800,1474560000,900,80.238945,225,506.535095
7680,7680,552.97583,116.898689,64.46637,57.246815,29137305600,707788800,117964800,235944960,129284.2992,259674.55,4246732800,1474560000,900,80.369888,225,492.058441
7680,7680,577.556946,117.108162,64.502975,57.258049,29137305600,707788800,117964800,235944960,135273.2648,271701.6435,4246732800,1474560000,900,80.356323,225,498.811523
7680,7680,586.651672,116.987267,64.52816,57.24147,29137305600,707788800,117964800,235944960,137261.5516,275696.4065,4246732800,1474560000,900,80.373184,225,496.92804
7680,7680,551.35083,116.937981,64.430466,57.239647,29137305600,707788800,117964800,235944960,128947.7058,258998.1132,4246732800,1474560000,900,80.735138,225,507.410217
7680,7680,550.934998,116.80381,64.44902,57.217918,29137305600,707788800,117964800,235944960,128702.6137,258507.0973,4246732800,1474560000,900,80.323357,225,495.487549
7680,7680,551.252502,116.855392,64.447395,57.255295,29137305600,707788800,117964800,235944960,128833.6544,258769.8139,4246732800,1474560000,900,95.881149,225,521.154419
